Section ,Age,Diet,Section,Treatment,ratio
YC5C,Young,Control,DC,Control,0.237969117
YC6C,Young,Control,DC,Control,0.185514259
YC6C,Young,Control,DUO,Control,0.01351866
YC6C,Young,Control,ILE,Control,0.010238875
YC6C,Young,Control,JEJ,Control,0.00698525
YC6C,Young,Control,PC,Control,0.162188635
YC7C,Young,Control,DC,Control,0.155989493
YC7C,Young,Control,DUO,Control,0.018724349
YC7C,Young,Control,ILE,Control,0.022259426
YC7C,Young,Control,JEJ,Control,0.015195611
YC7C,Young,Control,PC,Control,0.144693757
YG1C,Young,GOS,DC,Control,0.175492906
YG2C,Young,GOS,DC,Control,0.156686386
YG5C,Young,GOS,DC,Control,0.30163982
YG6C,Young,GOS,DC,Control,0.186551861
YG6C,Young,GOS,DUO,Control,0.026384023
YG6C,Young,GOS,ILE,Control,0.214781316
YG6C,Young,GOS,JEJ,Control,0.028087364
YG6C,Young,GOS,PC,Control,0.152907683
YG7C,Young,GOS,DC,Control,0.147797249
YG7C,Young,GOS,DUO,Control,0.042513594
YG7C,Young,GOS,ILE,Control,0.088704208
YG7C,Young,GOS,JEJ,Control,0.013602388
YG7C,Young,GOS,PC,Control,0.15023886
YG8C,Young,GOS,DC,Control,0.169517496
YG8C,Young,GOS,DUO,Control,0.010519101
YG8C,Young,GOS,ILE,Control,0.020914596
YG8C,Young,GOS,JEJ,Control,0.048935597
YG8C,Young,GOS,PC,Control,0.15076556
YG9C,Young,GOS,DC,Control,0.1864621
YG9C,Young,GOS,DUO,Control,0.022450783
YG9C,Young,GOS,ILE,Control,0.009966462
YG9C,Young,GOS,JEJ,Control,0.006686069
YG9C,Young,GOS,PC,Control,0.225008
YH1C,Young,hGOS,DC,Control,0.114352414
YH3C,Young,hGOS,DC,Control,0.195748699
YH4C,Young,hGOS,DC,Control,0.208548584
YH5C,Young,hGOS,DC,Control,0.212810481
YH5C,Young,hGOS,DUO,Control,0.013401376
YH5C,Young,hGOS,ILE,Control,0.337306782
YH5C,Young,hGOS,JEJ,Control,0.017353919
YH5C,Young,hGOS,PC,Control,0.174684302
YH6C,Young,hGOS,DC,Control,0.176585544
YH6C,Young,hGOS,DUO,Control,0.009711246
YH6C,Young,hGOS,ILE,Control,0.025120912
YH6C,Young,hGOS,JEJ,Control,0.010963561
YH6C,Young,hGOS,PC,Control,0.144814226
YH7C,Young,hGOS,DC,Control,0.191028294
YH7C,Young,hGOS,DUO,Control,0.009801309
YH7C,Young,hGOS,ILE,Control,0.017301004
YH7C,Young,hGOS,JEJ,Control,0.009644151
YH7C,Young,hGOS,PC,Control,0.261202068
